hidden_sizes,learning_rate,dropout_rate,batch_size,weight_decay,avg_top5_return,avg_hit_rate,avg_train_time,avg_epochs,return_std,hit_rate_std,success_rate
"[512, 256]",0.001,0.4,32,1e-05,1.0898986048996449,0.12000000000000002,0.34964423974355063,16.133333333333333,0.7225248950582107,0.12220201853215576,1.0
"[512, 256]",0.001,0.4,32,0.0001,1.0578115951269864,0.11333333333333334,0.3313302755355835,15.366666666666667,0.7548610662687045,0.12310790208412926,0.9666666666666667
"[512, 256]",0.001,0.4,32,0.0,1.0229975167041023,0.12000000000000002,0.33695658842722576,15.6,0.7708968805312403,0.14236104336041747,0.9666666666666667
"[512, 256]",0.0001,0.2,32,1e-05,1.0194259735445181,0.10666666666666669,0.36669060389200847,17.166666666666668,1.0959220545703925,0.14360439485692014,0.8
"[512, 256]",0.0001,0.2,32,0.0001,1.019041120260954,0.10666666666666669,0.359005077679952,16.833333333333332,1.096021944618422,0.14360439485692014,0.8
"[512, 256]",0.0001,0.2,32,0.0,1.0144084247450034,0.10666666666666669,0.3614040772120158,16.8,1.092015673443517,0.14360439485692014,0.8
[256],0.01,0.4,32,0.0001,1.005980476240317,0.15333333333333335,0.2861936887105306,14.7,0.6840546942869759,0.16069294390925268,0.9666666666666667
"[512, 256]",0.001,0.4,16,0.0,0.9762477699977656,0.13333333333333336,0.378057066599528,12.933333333333334,0.8145474037194794,0.13984117975602023,0.9333333333333333
"[512, 256]",0.001,0.4,16,0.0001,0.9753892157537242,0.10666666666666667,0.42911647955576576,14.366666666666667,0.824091006730472,0.1339983416149452,0.9333333333333333
[256],0.001,0.4,32,0.0,0.9733173653483391,0.14,0.26457329591115314,13.6,1.2986939510891529,0.11718930554164632,0.8
[256],0.001,0.4,32,1e-05,0.9609870572884878,0.14,0.2665876388549805,13.7,1.265717164169277,0.10519822558706333,0.8333333333333334
[256],0.001,0.4,32,0.0001,0.9534083525339763,0.14,0.2670996824900309,13.533333333333333,1.264943276418379,0.10519822558706333,0.8333333333333334
"[512, 256]",0.001,0.0,32,1e-05,0.9514855831240614,0.11333333333333334,0.3023717403411865,14.1,0.9397871293974305,0.14313940369055925,0.8333333333333334
"[512, 256]",0.0001,0.0,32,1e-05,0.9486074330906074,0.11333333333333334,0.36899662017822266,17.633333333333333,0.8710398440605307,0.14313940369055925,0.8
"[512, 256]",0.0001,0.0,32,0.0,0.9481721403698127,0.11333333333333334,0.3740467151006063,17.9,0.8710914720609055,0.14313940369055925,0.8
"[512, 256]",0.0001,0.0,32,0.0001,0.9481721403698127,0.11333333333333334,0.3774770100911458,17.866666666666667,0.8710914720609055,0.14313940369055925,0.8
